id,cluster_id,cluster_name,distance_from_centroid
962,0,High-Quality Compounders,0.186091286079746
460,0,High-Quality Compounders,0.18177386059925876
973,0,High-Quality Compounders,0.17334032927807635
27,0,High-Quality Compounders,0.08002544761512659
495,0,High-Quality Compounders,0.2574758820412696
770,0,High-Quality Compounders,0.1913536877496024
471,0,High-Quality Compounders,0.18284816799143716
224,0,High-Quality Compounders,0.07986973869408506
212,0,High-Quality Compounders,1.2980981881381033
1021,0,High-Quality Compounders,0.17915706864598788
746,0,High-Quality Compounders,0.1844055722784472
554,0,High-Quality Compounders,0.2446237440984349
698,0,High-Quality Compounders,0.14573584054480324
590,0,High-Quality Compounders,0.1853078871736062
9,0,High-Quality Compounders,0.18546713569148648
566,0,High-Quality Compounders,0.382214316604812
683,0,High-Quality Compounders,0.7816198219588185
166,0,High-Quality Compounders,1.2063864995493006
1057,0,High-Quality Compounders,0.0737882362138998
1069,0,High-Quality Compounders,0.1831303828558605
1105,0,High-Quality Compounders,0.15278332979264142
578,0,High-Quality Compounders,0.39826495445450927
671,0,High-Quality Compounders,0.058192372902522924
147,0,High-Quality Compounders,0.18434991719949084
146,0,High-Quality Compounders,0.18434991719949084
8,0,High-Quality Compounders,0.18546713569148648
122,0,High-Quality Compounders,0.17847943202168443
1045,0,High-Quality Compounders,0.12492294092193884
542,4,Emerging Growth,0.4663881966049315
1009,0,High-Quality Compounders,0.16479129626192143
123,0,High-Quality Compounders,0.17847943202168443
506,0,High-Quality Compounders,0.8723905044013638
200,0,High-Quality Compounders,0.5801484146882617
734,0,High-Quality Compounders,0.07254650629798669
518,3,Distressed or Turnaround,1.1362454461853218
710,0,High-Quality Compounders,0.21396890776839478
190,0,High-Quality Compounders,0.18724882648794566
1177,0,High-Quality Compounders,1.4801075679055822
1033,0,High-Quality Compounders,0.0898686479338606
530,0,High-Quality Compounders,1.1918163141047304
178,0,High-Quality Compounders,0.07200107320104557
83,0,High-Quality Compounders,1.2226905537489219
659,0,High-Quality Compounders,0.09190553838495379
